ФИИТ 1 курс;100;Как зовут старосту?;Андрей;Его не зовут;Зачем его знать?;Алексей;Алексей
ФИИТ 1 курс;300;Как расшифровывается ФИИТ?;Фантастические изобретения и технологии;Фундаментальная информатика и информационные технологии;Факультет изобретай и твори;Фиг его знает, что это такое;Фундаментальная информатика и информационные технологии
ФИИТ 1 курс;500;Сколько человек (настоящих) в группе?;4;10;30;24;30
ФИИТ 1 курс;700;Сколько людей до поступления проживали в Калининградской области?;228;10;1000-7;90;10
ФИИТ 1 курс;1000;Как зовут куратора ФИИТ?;Савкин Дмитрий Александрович;Киану Ривз;Анджелина Джоли;Леброн Джеймс;Савкин Дмитрий Александрович
Искусственный интеллект;100;Самая большая компания по разработке искусственного интеллекта?;openAI;sber;avito;yandex;openAI
Искусственный интеллект;300;Какой метод лежит в основе обучения большинства современных ИИ-систем?;метод караоке;машинное обучение;метод замены;метод стула;машинное обучение
Искусственный интеллект;500;Кто является генеральным директором openAI?;Лавров;Трамп;Илон Маск;Сэм Альтман;Сэм Альтман
Искусственный интеллект;700;Сколько вложили различные компании на развитие ИИ за 2025 год?;155 миллиардов;38 рублей на проезд;пачку чипсов;все деньги, которые были выделены на общежитие;155 миллиардов
Искусственный интеллект;1000;Какое правило используется для оценки поведения ИИ в диалогах с людьми?;буравчика;тригонометрическое тождество;собаки Павлова;тест Тьюринга;тест Тьюринга
Университет;100;В честь кого назван БФУ?;Ломоносов;Менделеев;Иммануил Кант;Пушкин;Иммануил Кант
Университет;300;Сколько студентов обучается в БФУ?;1;2;3;13500±;13500±
Университет;500;Кто является ректором БФУ?;Дёмин Максим Викторович;Иванов;Петров;Сидоров;Дёмин Максим Викторович
Университет;700;Когда должны сдать новое общежитие?;никогда;никогда;в декабре;никогда;в декабре
Университет;1000;Какое прозвище у Худенко Владимира Николаевича?;водолаз;дедушка;моя смерть;лодочник;лодочник
Калининградская область;100;Как назывался Калининград до 1946?;Омск;Янтарная Республика;Кёнигсберг;Весёловка;Кёнигсберг
Калининградская область;300;Какой металл - главное природное богатство региона?;янтарь;волшебный металл;космический алюминий;сталь подзаборная;янтарь
Калининградская область;500;Как называется самый известный полуостров в Калининграде?;Лабрадор;Сомали;Куршская коса;АНТАЛИЯ;Куршская коса
Калининградская область;700;Какое великое архитектурное сооружение снесли в Калининграде?;Балтийский мост;Дом Советов;БФУ;РОСТЕХ Арена;Дом Советов
Калининградская область;1000;Количество Хомлинов в области?;КТО?;Хом, что?;Пусть будет 5;13;13
Вопросы от балды;500;Столица Марокко?;Это где?;Рабат;Вадуц;Мапуту;Рабат
Вопросы от балды;500;Самое популярное казино в Калининграде?;SOBRANIE;Monte Carlo Casino;Ponte 16;Sand Macau;SOBRANIE
Вопросы от балды;500;Сколько существует Сталинских высоток?;7;это типа МГУ;1;3;7
Вопросы от балды;500;Сколько километров составляет стандартный марафон?;3;12;24;42;42
Вопросы от балды;500;"Как переводится ""Let your fears go""?";быть или не быть;позволь своим страхам уйти;следуй за своим сердцем;наслаждайся каждым моментом;позволь своим страхам уйти
