ФИИТ 1 курс;100;Как зовут старосту?;Андрей;Его не зовут;Зачем его знать?;Алексей;D
ФИИТ 1 курс;300;Как расшифровывается ФИИТ?;Фантастические изобретения и технологиии;Фундаментальная информатика информационные технологии ;Факультет изобретай и твори ;Фиг его знает, что это такое ;B
ФИИТ 1 курс;500;Сколько человек((настоящих в группе?;4;10;30;24;С
ФИИТ 1 курс;700;Сколько людей до поступления проживали в Калининградской области?;228;10;1000-7;90;B
ФИИТ 1 курс;1000;Как зовут куратора ФИИТ?;Савкин Дмитрий Александрович ;Киану Ривз;Анджелина Джоли ;Леброн Джеймс ;A
Исскуственный интелект;100;Самая большая компания по разработке исскуственного интелекста?;openAI;sber;avito;yandex;A
Исскуственный интелект;300;Какой метод лежит в основе обучения большинства современных ИИ-сиситем?;метод караоке;машинное обучение ;метод замены ;метод стула ;B
Исскуственный интелект;500;Кто яляется генеральным директором openAI?;Лавров ;Трамп;Илон Маск ;Сэм Альтман;Сэм Альтман
Исскуственный интелект;700;Сколько вложили различные компании на развитие ИИ за 2025 год?;155 миллиардов ;38 рублей на проезд ;пачку чипсов ;все деньги которые были выделены на общежитие ;A
Исскуственный интелект;1000;Какое правило используется для оценки поведения ИИ в диалогах с людьми?;буравчика;тригонометрическое тождество ;собаки Павлова ;тест Тьюринга ;D
Унивеситет;100;В честь кого назван БФУ?;Ломоносов ;Менделеев ;Иммануил Кант ;Пушкин ;C
Унивеситет;300;Сколько студентов обучается в БФУ?;1;2;3;13500+-;D
Унивеситет;500;Кто является ректором БФУ?;Демин Максим Викторович ;Иванов ;Петров ;Сидоров ;A
Унивеситет;700;Когда должны сдать новое общежитие?;никогда ;никогда ;в декабре ;никогда;C
Унивеситет;1000;Какое прозвище у Худенко Владимира Николаевича?;водолаз ;дедушка ;моя смерть ;лодочник ;D
Калининградская область;100;Как назывался Калининград до 1946?;Омск ;Янтарная Республика ;Кёнигсберг ;Весёловка;C
Калининградская область;300;Главное природное богатство региона?;янтарь ;волшебный металл;космический алюминий ;сталь подзаборная ;A
Калининградская область;500;Как называется самый известный полуостров в Калининграде?;Лабрадор ;Сомали ;Куршская коса ;АНТАЛИЯ)));C
Калининградская область;700;Какое великое архитектурное сооружение снесли в Калининграде?;Балтийский мост;Дом Советов ;БФУ;РОСТЕХ Арену ;B
Калининградская область;1000;Количество Хомлинов в области ?;КТО?;Хом что ?;Пусть будет 5 ;13;D
Вопросы от балды;500;Столица Марокко ?;Это где?;Рабат ;Вадуц;Мапуту ;B
Вопросы от балды;500;Самое популярное казино в Калининграде?;SOBRANIE;Monte Carlo Casino ;Ponte 16 ;Sand Macau;A
Вопросы от балды;500;Сколько существует Сталинских высоток?;7;это типо МГУ ;1;3;A
Вопросы от балды;500;Сколько километров стандарт у марафона?;a)3;b)12;c)24;d)42;D
Вопросы от балды;500;"Как переводится ""Let your fears go""?";быть или не быть ;позволь своим страхам уйти ;следуй за своим сердцем ;наслаждайся каждым моментом ;B
